session_id,timestamp_ms,timestamp_iso,latitude,longitude,accuracy_m,speed_mps,bearing_deg,altitude_m,provider,raw_provider,source,reused
20251025T170307Z,1761411824524,2025-10-25T17:03:44.524000+00:00,53.3421066,-6.2507305,207.24900817871094,0.0,0.0,64.0,network,network,once,0
20251025T170307Z,1761411825526,2025-10-25T17:03:45.526000+00:00,53.3421066,-6.2507305,214.13699340820312,0.0,0.0,64.0,network,network,once,0
20251025T170307Z,1761411826515,2025-10-25T17:03:46.515000+00:00,53.3421066,-6.2507305,221.1929931640625,0.0,0.0,64.0,network,network,once,0
20251025T170307Z,1761411827516,2025-10-25T17:03:47.516000+00:00,53.3421066,-6.2507305,228.1929931640625,0.0,0.0,64.0,network,network,once,0
20251025T170307Z,1761411828521,2025-10-25T17:03:48.521000+00:00,53.3421066,-6.2507305,235.2209930419922,0.0,0.0,64.0,network,network,once,0
20251025T170307Z,1761411829537,2025-10-25T17:03:49.537000+00:00,53.3421066,-6.2507305,242.28399658203125,0.0,0.0,64.0,network,network,once,0
20251025T170307Z,1761411830536,2025-10-25T17:03:50.536000+00:00,53.3421066,-6.2507305,249.24899291992188,0.0,0.0,64.0,network,network,once,0
20251025T170307Z,1761411831525,2025-10-25T17:03:51.525000+00:00,53.3421066,-6.2507305,256.2630310058594,0.0,0.0,64.0,network,network,once,0
20251025T170307Z,1761411832538,2025-10-25T17:03:52.538000+00:00,53.3421066,-6.2507305,263.3260192871094,0.0,0.0,64.0,network,network,once,0
20251025T170307Z,1761411833543,2025-10-25T17:03:53.543000+00:00,53.3423343,-6.250286,37.14500045776367,0.0,0.0,64.0,network,network,once,0
20251025T170307Z,1761411834528,2025-10-25T17:03:54.528000+00:00,53.3423343,-6.250286,44.11000061035156,0.0,0.0,64.0,network,network,once,0
20251025T170307Z,1761411835526,2025-10-25T17:03:55.526000+00:00,53.3423343,-6.250286,51.040000915527344,0.0,0.0,64.0,network,network,once,0
20251025T170307Z,1761411836554,2025-10-25T17:03:56.554000+00:00,53.3423343,-6.250286,58.243003845214844,0.0,0.0,64.0,network,network,once,0
20251025T170307Z,1761411837537,2025-10-25T17:03:57.537000+00:00,53.3423343,-6.250286,65.22900390625,0.0,0.0,64.0,network,network,once,0
20251025T170307Z,1761411838512,2025-10-25T17:03:58.512000+00:00,53.3423343,-6.250286,71.93500518798828,0.0,0.0,64.0,network,network,once,0
20251025T170307Z,1761411839501,2025-10-25T17:03:59.501000+00:00,53.3423343,-6.250286,78.85100555419922,0.0,0.0,64.0,network,network,once,0
20251025T170307Z,1761411840495,2025-10-25T17:04:00.495000+00:00,53.3423343,-6.250286,85.91400146484375,0.0,0.0,64.0,network,network,once,0
20251025T170307Z,1761411841511,2025-10-25T17:04:01.511000+00:00,53.3423343,-6.250286,93.01200103759766,0.0,0.0,64.0,network,network,once,0
20251025T170307Z,1761411842515,2025-10-25T17:04:02.515000+00:00,53.3423343,-6.250286,99.99800109863281,0.0,0.0,64.0,network,network,once,0
20251025T170307Z,1761411843553,2025-10-25T17:04:03.553000+00:00,53.3423343,-6.250286,107.25700378417969,0.0,0.0,64.0,network,network,once,0
20251025T170307Z,1761411844589,2025-10-25T17:04:04.589000+00:00,53.3423343,-6.250286,114.50199890136719,0.0,0.0,64.0,network,network,once,0
20251025T170307Z,1761411845514,2025-10-25T17:04:05.514000+00:00,53.3423343,-6.250286,121.01899719238281,0.0,0.0,64.0,network,network,once,0
20251025T170307Z,1761411846542,2025-10-25T17:04:06.542000+00:00,53.3423343,-6.250286,128.1099853515625,0.0,0.0,64.0,network,network,once,0
20251025T170307Z,1761411847562,2025-10-25T17:04:07.562000+00:00,53.3423343,-6.250286,135.34100341796875,0.0,0.0,64.0,network,network,once,0
20251025T170307Z,1761411848498,2025-10-25T17:04:08.498000+00:00,53.3423343,-6.250286,141.8509979248047,0.0,0.0,64.0,network,network,once,0
20251025T170307Z,1761411849527,2025-10-25T17:04:09.527000+00:00,53.3423343,-6.250286,149.0819854736328,0.0,0.0,64.0,network,network,once,0
20251025T170307Z,1761411850529,2025-10-25T17:04:10.529000+00:00,53.3423343,-6.250286,156.0679931640625,0.0,0.0,64.0,network,network,once,0
20251025T170307Z,1761411851535,2025-10-25T17:04:11.535000+00:00,53.3423343,-6.250286,163.17999267578125,0.0,0.0,64.0,network,network,once,0
20251025T170307Z,1761411852551,2025-10-25T17:04:12.551000+00:00,53.3423343,-6.250286,170.13800048828125,0.0,0.0,64.0,network,network,once,0
20251025T170307Z,1761411853549,2025-10-25T17:04:13.549000+00:00,53.3423343,-6.250286,177.2220001220703,0.0,0.0,64.0,network,network,once,0
20251025T170307Z,1761411854545,2025-10-25T17:04:14.545000+00:00,53.3423343,-6.250286,184.2220001220703,0.0,0.0,64.0,network,network,once,0
20251025T170307Z,1761411855528,2025-10-25T17:04:15.528000+00:00,53.3427231,-6.2501308,16.090999603271484,0.0,0.0,64.0,network,network,once,0
20251025T170307Z,1761411856538,2025-10-25T17:04:16.538000+00:00,53.3427231,-6.2501308,23.083999633789062,0.0,0.0,64.0,network,network,once,0
20251025T170307Z,1761411857535,2025-10-25T17:04:17.535000+00:00,53.3427231,-6.2501308,30.083999633789062,0.0,0.0,64.0,network,network,once,0
20251025T170307Z,1761411858538,2025-10-25T17:04:18.538000+00:00,53.3427231,-6.2501308,37.167999267578125,0.0,0.0,64.0,network,network,once,0
20251025T170307Z,1761411859542,2025-10-25T17:04:19.542000+00:00,53.3427231,-6.2501308,44.167999267578125,0.0,0.0,64.0,network,network,once,0
20251025T170307Z,1761411860538,2025-10-25T17:04:20.538000+00:00,53.3427231,-6.2501308,51.17499923706055,0.0,0.0,64.0,network,network,once,0
20251025T170307Z,1761411861545,2025-10-25T17:04:21.545000+00:00,53.3427231,-6.2501308,58.209999084472656,0.0,0.0,64.0,network,network,once,0
20251025T170307Z,1761411862547,2025-10-25T17:04:22.547000+00:00,53.3427231,-6.2501308,65.17500305175781,0.0,0.0,64.0,network,network,once,0
20251025T170307Z,1761411863553,2025-10-25T17:04:23.553000+00:00,53.3427231,-6.2501308,72.19599914550781,0.0,0.0,64.0,network,network,once,0
20251025T170307Z,1761411864546,2025-10-25T17:04:24.546000+00:00,53.3427231,-6.2501308,79.17499542236328,0.0,0.0,64.0,network,network,once,0
20251025T170307Z,1761411865552,2025-10-25T17:04:25.552000+00:00,53.3427231,-6.2501308,86.25199890136719,0.0,0.0,64.0,network,network,once,0
20251025T170307Z,1761411866531,2025-10-25T17:04:26.531000+00:00,53.3427231,-6.2501308,93.0979995727539,0.0,0.0,64.0,network,network,once,0
20251025T170307Z,1761411867547,2025-10-25T17:04:27.547000+00:00,53.3435072,-6.2496532,107.7490005493164,0.0,0.0,0.0,network,network,once,0
20251025T170307Z,1761411868542,2025-10-25T17:04:28.542000+00:00,53.3435072,-6.2496532,114.7770004272461,0.0,0.0,0.0,network,network,once,0
20251025T170307Z,1761411869554,2025-10-25T17:04:29.554000+00:00,53.3435072,-6.2496532,121.82600402832031,0.0,0.0,0.0,network,network,once,0
20251025T170307Z,1761411870544,2025-10-25T17:04:30.544000+00:00,53.3435072,-6.2496532,128.75599670410156,0.0,0.0,0.0,network,network,once,0
20251025T170307Z,1761411871535,2025-10-25T17:04:31.535000+00:00,53.3435072,-6.2496532,135.73500061035156,0.0,0.0,0.0,network,network,once,0
20251025T170307Z,1761411872546,2025-10-25T17:04:32.546000+00:00,53.3435072,-6.2496532,142.75599670410156,0.0,0.0,0.0,network,network,once,0
20251025T170307Z,1761411873546,2025-10-25T17:04:33.546000+00:00,53.3435072,-6.2496532,149.76300048828125,0.0,0.0,0.0,network,network,once,0
20251025T170307Z,1761411874558,2025-10-25T17:04:34.558000+00:00,53.3435072,-6.2496532,156.85400390625,0.0,0.0,0.0,network,network,once,0
20251025T170307Z,1761411875588,2025-10-25T17:04:35.588000+00:00,53.3435072,-6.2496532,164.04299926757812,0.0,0.0,0.0,network,network,once,0
20251025T170307Z,1761411876564,2025-10-25T17:04:36.564000+00:00,53.3435072,-6.2496532,170.93099975585938,0.0,0.0,0.0,network,network,once,0
20251025T170307Z,1761411877558,2025-10-25T17:04:37.558000+00:00,53.3435072,-6.2496532,177.8260040283203,0.0,0.0,0.0,network,network,once,0
20251025T170307Z,1761411878547,2025-10-25T17:04:38.547000+00:00,53.3435072,-6.2496532,184.8470001220703,0.0,0.0,0.0,network,network,once,0
20251025T170307Z,1761411879561,2025-10-25T17:04:39.561000+00:00,53.3435072,-6.2496532,191.88900756835938,0.0,0.0,0.0,network,network,once,0
20251025T170307Z,1761411880547,2025-10-25T17:04:40.547000+00:00,53.3435072,-6.2496532,198.8260040283203,0.0,0.0,0.0,network,network,once,0
20251025T170307Z,1761411881580,2025-10-25T17:04:41.580000+00:00,53.3435072,-6.2496532,205.95899963378906,0.0,0.0,0.0,network,network,once,0
20251025T170307Z,1761411882564,2025-10-25T17:04:42.564000+00:00,53.3435072,-6.2496532,212.88900756835938,0.0,0.0,0.0,network,network,once,0
20251025T170307Z,1761411883574,2025-10-25T17:04:43.574000+00:00,53.3435072,-6.2496532,219.9239959716797,0.0,0.0,0.0,network,network,once,0
20251025T170307Z,1761411884563,2025-10-25T17:04:44.563000+00:00,53.3435072,-6.2496532,226.9239959716797,0.0,0.0,0.0,network,network,once,0
20251025T170307Z,1761411885549,2025-10-25T17:04:45.549000+00:00,53.3435072,-6.2496532,233.77000427246094,0.0,0.0,0.0,network,network,once,0
20251025T170307Z,1761411886571,2025-10-25T17:04:46.571000+00:00,53.3435072,-6.2496532,240.96600341796875,0.0,0.0,0.0,network,network,once,0
20251025T170307Z,1761411887565,2025-10-25T17:04:47.565000+00:00,53.3435072,-6.2496532,247.89599609375,0.0,0.0,0.0,network,network,once,0
20251025T170307Z,1761411888554,2025-10-25T17:04:48.554000+00:00,53.3435072,-6.2496532,254.875,0.0,0.0,0.0,network,network,once,0
20251025T170307Z,1761411889544,2025-10-25T17:04:49.544000+00:00,53.3435072,-6.2496532,261.76300048828125,0.0,0.0,0.0,network,network,once,0
20251025T170307Z,1761411890548,2025-10-25T17:04:50.548000+00:00,53.3430302,-6.2499456,50.66200256347656,0.0,0.0,63.20000076293945,network,network,once,0
20251025T170307Z,1761411891591,2025-10-25T17:04:51.591000+00:00,53.3430302,-6.2499456,57.84400177001953,0.0,0.0,63.20000076293945,network,network,once,0
20251025T170307Z,1761411892558,2025-10-25T17:04:52.558000+00:00,53.3430302,-6.2499456,64.73199462890625,0.0,0.0,63.20000076293945,network,network,once,0
20251025T170307Z,1761411893553,2025-10-25T17:04:53.553000+00:00,53.3430302,-6.2499456,71.7249984741211,0.0,0.0,63.20000076293945,network,network,once,0
20251025T170307Z,1761411894567,2025-10-25T17:04:54.567000+00:00,53.3430302,-6.2499456,78.73199462890625,0.0,0.0,63.20000076293945,network,network,once,0
20251025T170307Z,1761411895564,2025-10-25T17:04:55.564000+00:00,53.3430302,-6.2499456,85.73200225830078,0.0,0.0,63.20000076293945,network,network,once,0
20251025T170307Z,1761411896577,2025-10-25T17:04:56.577000+00:00,53.3430302,-6.2499456,92.76000213623047,0.0,0.0,63.20000076293945,network,network,once,0
20251025T170307Z,1761411897550,2025-10-25T17:04:57.550000+00:00,53.3430302,-6.2499456,99.65499877929688,0.0,0.0,63.20000076293945,network,network,once,0
20251025T170307Z,1761411898558,2025-10-25T17:04:58.558000+00:00,53.3430302,-6.2499456,106.75299835205078,0.0,0.0,63.20000076293945,network,network,once,0
